Indice,Petroleo,Dolar,Dia,Mes
1,47.49,18.5952,18,febrero
2,48.85,18.5910,19,febrero
3,49.15,18.7992,20,febrero
4,48.47,18.9138,21,febrero
7,46.41,19.1197,24,febrero
8,44.94,19.0878,25,febrero
9,43.46,19.1585,26,febrero
10,42.05,19.3973,27,febrero
11,39.76,19.7760,28,febrero
14,41.85,19.6985,2,marzo
15,42.02,19.2837,3,marzo
16,41.37,19.5335,4,marzo
17,40.32,19.8095,5,marzo
18,35.75,20.1623,6,marzo
21,24.43,21.1117,9,marzo
22,27.40,21.0267,10,marzo
23,25.93,21.2130,11,marzo
24,23.58,22.1518,12,marzo
25,24.19,21.9288,13,marzo
29,18.78,23.0573,17,marzo
30,14.54,23.9008,18,marzo
31,17.70,24.0868,19,marzo
32,15.78,24.1113,20,marzo
35,15.33,25.0782,23,marzo
36,16.06,25.1185,24,marzo
37,16.84,24.2948,25,marzo
38,14.67,23.0970,26,marzo
39,13.01,23.5122,27,marzo
42,10.37,24.2853,30,marzo
43,10.76,23.4847,31,marzo
44,10.61,24.4918,1,abril
45,16.05,24.1087,2,abril
46,20.48,24.6938,3,abril
49,18.66,24.6895,6,abril
50,16.65,24.0388,7,abril
51,17.89,24.0925,8,abril
56,17.16,23.7427,13,abril
57,15.30,23.5645,14,abril
58,14.23,24.1155,15,abril
59,14.17,24.2098,16,abril
60,14.35,23.9012,17,abril
64,7.12,24.4248,21,abril
65,7.19,24.5883,22,abril
66,8.54,24.6230,23,abril
67,8.53,24.8583,24,abril
70,6.55,24.8492,27,abril
71,7.33,24.3882,28,abril
72,9.44,24.0002,29,abril
73,12.50,23.9283,30,abril
77,18.17,24.3812,4,mayo
78,21.67,23.8343,5,mayo
79,21.10,24.2942,6,mayo
81,21.89,23.6805,8,mayo
84,21.05,23.8693,11,mayo
85,21.95,24.0487,12,mayo
86,21.13,24.2113,13,mayo
87,23.08,24.2708,14,mayo
88,24.74,23.9580,15,mayo
91,26.73,23.6032,18,mayo
92,26.55,23.6023,19,mayo
93,27.71,23.2962,20,mayo
94,28.03,22.9600,21,mayo
95,27.30,22.7928,22,mayo
99,28.65,22.2932,26,mayo
100,27.37,22.3633,27,mayo
101,27.92,22.2040,28,mayo
102,29.87,22.1778,29,mayo